pitcher,player_name,p_throws,pitch_type,pitches,stuff_plus,whiff_pct,barrel_pct,xwoba_against,avg_velo,avg_ivb,avg_hb
668881,"Greene, Hunter",R,SL,387,105.3,37.0,1.6,0.089,89.7,3.5,5.6
683627,"Molina, Anthony",R,SL,51,105.3,31.4,0.0,0.09,86.8,5.0,3.6
666157,"Lodolo, Nick",L,CU,457,105.3,30.9,0.7,0.057,81.9,0.2,-8.4
543243,"Gray, Sonny",R,ST,344,105.3,39.5,0.6,0.114,85.1,-3.9,14.7
642232,"Yarbrough, Ryan",L,CH,119,105.3,34.5,1.7,0.129,77.9,-1.5,17.6
675911,"Strider, Spencer",R,CU,96,105.3,37.5,1.0,0.061,78.2,-6.7,10.0
690990,"Horton, Cade",R,SI,53,105.3,17.0,0.0,0.12,95.0,11.5,-10.2
656945,"Scott, Tanner",L,FF,345,105.3,18.3,0.6,0.108,96.5,16.6,6.3
547973,"Chapman, Aroldis",L,FF,279,105.3,21.5,0.4,0.064,98.3,18.4,3.4
542881,"Anderson, Tyler",L,CH,505,105.2,30.9,1.6,0.094,78.7,12.2,13.1
605540,"Woodruff, Brandon",R,CH,132,105.2,31.8,0.0,0.065,83.3,8.2,-14.8
677952,"Ashcraft, Braxton",R,SI,131,105.2,14.5,0.0,0.091,96.6,8.2,-15.9
688138,"Evans, Logan",R,FC,244,105.2,16.8,1.2,0.091,87.8,2.5,1.4
642239,"Zastryzny, Rob",L,FF,105,105.2,19.0,1.0,0.11,91.9,16.6,3.6
678020,"Halvorsen, Seth",R,FF,206,105.1,18.9,0.5,0.08,100.1,12.8,-10.4
681517,"Leahy, Kyle",R,SI,94,105.1,7.4,2.1,0.134,94.9,12.0,-13.1
621383,"Banks, Tanner",L,SI,91,105.1,7.7,1.1,0.116,92.1,8.9,13.7
678606,"Ferrer, Jose A.",L,SL,59,105.1,40.7,0.0,0.041,89.2,2.6,-0.9
571510,"Boyd, Matthew",L,SI,53,105.1,13.2,0.0,0.12,91.7,9.1,17.3
666142,"Ragans, Cole",L,FF,375,105.0,22.4,0.8,0.071,95.2,17.2,13.9
552640,"Kittredge, Andrew",R,SI,188,105.0,8.0,0.5,0.084,95.2,9.4,-15.4
455119,"Martin, Chris",R,SI,63,105.0,20.6,1.6,0.098,94.2,10.9,-14.5
663158,"Suarez, Robert",R,CH,148,105.0,28.4,0.7,0.12,90.3,7.8,-16.8
518886,"Kimbrel, Craig",R,FF,96,105.0,18.8,0.0,0.05,93.4,14.8,-12.3
664076,"Cleavinger, Garrett",L,FF,67,105.0,32.8,0.0,0.073,97.2,15.7,8.0
687223,"Palmquist, Carson",L,ST,116,104.9,26.7,0.0,0.045,73.8,1.6,-8.7
641656,"Hamilton, Ian",R,SL,151,104.9,42.4,0.7,0.065,87.8,5.0,0.3
605130,"Barlow, Scott",R,CU,132,104.9,31.1,0.0,0.048,78.1,-8.0,16.5
643377,"Jax, Griffin",R,SI,97,104.9,12.4,0.0,0.093,96.5,10.6,-14.3
678495,"Rodríguez, Randy",R,FF,264,104.9,21.2,0.0,0.059,97.5,18.4,-5.5
605177,"Chafin, Andrew",L,SL,133,104.8,37.6,0.0,0.072,80.4,-2.1,-1.0
688158,"Morgan, David",R,SI,131,104.8,6.9,0.0,0.09,96.7,5.3,-17.2
805673,"Matthews, Zebby",R,SL,218,104.8,33.9,1.8,0.106,88.1,1.2,2.4
676760,"Marinaccio, Ron",R,FF,70,104.8,25.7,0.0,0.029,94.0,13.1,-14.5
656302,"Cease, Dylan",R,SL,819,104.8,36.0,0.5,0.076,89.1,3.3,1.3
519242,"Sale, Chris",L,SL,677,104.7,28.7,0.1,0.062,78.9,-3.0,-10.8
670036,"Festa, Matt",R,FC,85,104.7,20.0,1.2,0.126,90.5,8.3,4.7
695549,"Jobe, Jackson",R,SI,67,104.7,20.9,0.0,0.131,95.4,9.7,-16.1
689690,"Jacob, Alek",R,SI,56,104.7,7.1,0.0,0.128,84.1,5.0,-18.7
674841,"Alvarez, Andrew",L,FF,69,104.7,13.0,0.0,0.095,91.2,13.7,3.3
657746,"Ryan, Joe",R,FF,1069,104.7,20.9,1.3,0.082,93.6,13.8,-12.7
685126,"Eisert, Brandon",L,FF,223,104.7,19.3,0.9,0.083,89.7,15.2,10.2
657571,"Ferguson, Caleb",L,FF,200,104.7,16.5,0.5,0.083,94.0,15.6,5.0
608718,"Suter, Brent",L,CH,161,104.7,32.3,0.6,0.104,76.6,11.1,10.6
672582,"Zerpa, Angel",L,SI,355,104.7,5.4,0.0,0.072,96.5,3.6,16.5
666974,"Cano, Yennier",R,SI,305,104.7,12.8,0.0,0.076,95.1,-1.5,-16.9
623474,"Herget, Jimmy",R,FF,50,104.6,40.0,0.0,0.046,93.0,8.0,-13.2
650893,"Cabrera, Génesis",L,FS,52,104.6,48.1,1.9,0.1,85.0,8.0,6.7
672282,"Detmers, Reid",L,CU,148,104.6,11.5,0.0,0.054,73.7,-16.1,-10.3
680885,"Schwellenbach, Spencer",R,SI,104,104.6,3.8,1.0,0.142,95.4,7.3,-15.1
676917,"Cavalli, Cade",R,CH,78,104.6,32.1,0.0,0.088,89.7,6.1,-17.6
666200,"Luzardo, Jesús",L,ST,646,104.6,28.9,0.0,0.053,86.1,-0.1,-8.7
669371,"Henry, Cole",R,FF,344,104.6,21.8,0.3,0.075,94.4,14.2,-14.4
683409,"Chivilli, Angel",R,SL,114,104.6,39.5,2.6,0.098,90.3,4.2,0.9
608331,"Fried, Max",L,SI,402,104.6,17.4,0.2,0.081,93.9,4.2,10.0
571510,"Boyd, Matthew",L,CU,197,104.6,12.2,0.0,0.059,73.5,-8.4,-10.6
686993,"Sterner, Justin",R,ST,112,104.6,40.2,0.0,0.066,81.5,3.4,15.4
663372,"Feltner, Ryan",R,FF,117,104.6,7.7,1.7,0.152,93.9,11.7,-3.3
661395,"Duran, Jhoan",R,FF,252,104.6,27.8,0.0,0.075,100.6,12.5,-13.4
605463,"Scott, Tayler",R,FF,147,104.6,17.7,0.0,0.098,92.0,10.2,-14.4
687377,"Ribalta, Orlando",R,CH,56,104.5,35.7,0.0,0.076,85.5,13.3,-8.1
702070,"Cameron, Noah",L,CH,260,104.5,34.6,0.8,0.115,81.2,11.1,11.2
663765,"Woodford, Jake",R,FF,52,104.5,23.1,0.0,0.107,93.0,12.6,-6.3
676508,"Casparius, Ben",R,FC,205,104.5,15.6,0.0,0.094,92.1,7.0,5.4
500779,"Quintana, Jose",L,FF,152,104.5,16.4,1.3,0.115,90.5,16.0,4.7
554430,"Wheeler, Zack",R,FS,117,104.5,37.6,0.9,0.101,86.8,4.2,-13.0
673540,"Senga, Kodai",R,SI,54,104.4,11.1,0.0,0.078,88.4,6.5,-15.9
686613,"Brown, Hunter",R,SL,142,104.4,22.5,1.4,0.144,91.3,5.7,3.7
676106,"Hancock, Emerson",R,ST,50,104.4,26.0,0.0,0.054,78.3,2.7,15.8
622554,"Domínguez, Seranthony",R,SI,99,104.4,8.1,0.0,0.122,97.9,10.0,-14.8
668970,"Hollowell, Gavin",R,FF,53,104.4,20.8,0.0,0.079,94.5,12.9,-11.5
691799,"Taylor, Grant",R,FF,258,104.4,22.9,0.0,0.069,98.8,16.8,-0.8
680736,"Wrobleski, Justin",L,FF,264,104.4,23.5,1.1,0.095,95.7,16.3,7.1
592866,"Williams, Trevor",R,CH,69,104.4,36.2,1.4,0.142,81.3,0.9,-13.5
670912,"Oviedo, Johan",R,CU,68,104.3,22.1,0.0,0.078,77.8,-2.6,8.9
665660,"Alvarado, Elvis",R,SL,134,104.3,31.3,0.0,0.091,88.8,5.6,-0.8
518876,"Kelly, Merrill",R,SL,111,104.3,26.1,0.0,0.12,85.7,3.4,2.3
554430,"Wheeler, Zack",R,FF,652,104.3,23.9,0.6,0.062,96.1,14.7,-10.1
681870,"Sabrowski, Erik",L,FF,252,104.3,26.6,0.0,0.041,94.0,19.8,9.7
686973,"Varland, Louis",R,FF,353,104.3,13.0,0.3,0.085,98.2,15.8,-7.6
676917,"Cavalli, Cade",R,SI,117,104.3,6.8,1.7,0.138,96.6,7.9,-13.9
687888,"Walter, Brandon",L,CH,85,104.3,34.1,0.0,0.081,80.9,0.3,17.7
642397,"Soto, Gregory",L,SL,212,104.3,37.7,0.0,0.08,85.9,3.9,-2.9
663460,"Bubic, Kris",L,SI,86,104.2,8.1,1.2,0.115,91.5,9.5,13.5
678692,"Henriquez, Ronny",R,ST,218,104.2,40.4,0.9,0.077,85.3,1.4,13.1
690997,"McLean, Nolan",R,SI,192,104.2,10.9,1.0,0.079,94.8,2.9,-16.6
656464,"Ginkel, Kevin",R,SL,140,104.2,37.1,0.7,0.098,84.7,-2.5,4.5
691951,"Aldegheri, Sam",L,FF,77,104.2,13.0,0.0,0.093,91.6,16.0,3.9
605463,"Scott, Tayler",R,FS,94,104.2,28.7,1.1,0.109,83.8,-4.4,-8.6
676130,"Buttó, José",R,SI,133,104.2,11.3,0.0,0.126,94.5,9.9,-14.6
656794,"Newcomb, Sean",L,SI,231,104.2,6.5,0.4,0.11,92.4,5.1,17.2
642207,"Williams, Devin",R,FF,335,104.2,28.4,0.3,0.057,94.1,15.6,-12.9
642232,"Yarbrough, Ryan",L,ST,127,104.2,28.3,0.0,0.066,71.8,7.6,-12.5
671737,"Bradley, Taj",R,SI,123,104.2,13.0,0.0,0.166,96.1,15.2,-10.5
674444,"Cruz, Steven",R,FF,241,104.1,20.3,0.4,0.084,98.0,15.2,-10.1
669276,"Lee, Dylan",L,SL,425,104.1,34.8,0.7,0.068,85.8,6.5,-0.5
660271,"Ohtani, Shohei",R,ST,137,104.1,29.9,0.0,0.073,85.2,3.7,13.2
641745,"Keller, Brad",R,FF,329,104.1,13.1,0.9,0.078,97.2,15.1,-1.3
664192,"Lucchesi, Joey",L,FF,113,104.1,12.4,0.9,0.09,92.7,14.2,6.1
542881,"Anderson, Tyler",L,SI,52,104.1,11.5,3.8,0.165,88.6,10.9,16.1
662253,"Muñoz, Andrés",R,SL,356,104.1,38.5,0.3,0.061,86.2,-1.4,5.9
669432,"Rogers, Trevor",L,ST,92,104.1,30.4,1.1,0.041,78.2,7.8,-7.6
680767,"Vodnik, Victor",R,FF,335,104.1,13.4,0.9,0.101,98.7,13.4,-5.8
642547,"Peralta, Freddy",R,CU,262,104.1,23.7,0.4,0.07,79.4,-5.1,4.8
683409,"Chivilli, Angel",R,CH,217,104.1,36.9,1.4,0.083,88.7,7.2,-11.8
665795,"Cabrera, Edward",R,CU,355,104.1,28.5,0.0,0.047,84.1,-10.7,10.6
666171,"Zeferjahn, Ryan",R,ST,188,104.0,30.3,0.5,0.059,84.1,3.8,14.7
669456,"Bieber, Shane",R,SL,87,104.0,33.3,0.0,0.111,85.3,-1.3,1.2
665660,"Alvarado, Elvis",R,FF,271,104.0,31.0,0.7,0.063,98.7,13.8,-14.1
664854,"Helsley, Ryan",R,SL,324,104.0,33.0,0.3,0.064,88.7,0.2,3.7
663460,"Bubic, Kris",L,FF,484,104.0,20.7,0.6,0.092,92.0,18.1,4.3
543135,"Eovaldi, Nathan",R,SI,84,104.0,9.5,0.0,0.11,93.4,9.6,-17.6
690925,"Beeter, Clayton",R,SL,156,104.0,37.2,1.9,0.063,87.5,-5.3,4.1
675911,"Strider, Spencer",R,SL,439,104.0,41.2,0.5,0.094,84.1,2.5,5.1
800049,"Mazur, Adam",R,SI,59,104.0,8.5,0.0,0.125,94.4,13.1,-13.5
664991,"Wolfram, Grant",L,SI,170,104.0,14.7,0.0,0.073,96.0,12.4,14.3
594798,"deGrom, Jacob",R,SL,621,104.0,30.3,0.3,0.106,90.4,2.4,4.8
656849,"Peterson, David",L,FF,388,104.0,16.8,0.0,0.108,92.2,13.5,4.4
607192,"Glasnow, Tyler",R,CU,193,104.0,33.7,0.0,0.066,81.7,-16.2,4.7
660271,"Ohtani, Shohei",R,FF,224,104.0,17.4,0.9,0.068,98.4,14.5,-5.2
662253,"Muñoz, Andrés",R,FF,235,104.0,16.6,1.7,0.067,98.4,13.4,-11.1
676979,"Crochet, Garrett",L,FC,672,103.9,17.9,0.6,0.099,90.8,6.1,-3.6
